all: kabuna
animal: nihí
arm: iharega
arrow: muhibé
ashes: i\ora
back: muzuŋgulɛ̌
bad: ma˗kuša
bark: igomé
belly: maš
belly: maso
belly: maːsɔ̌
big: ˗giru
big: mu˗qiɭu
bird: χimɛnɔ
bite: (ku)˗nɛ̌
bite: ˗ŋe
bite: sáho
bite: saxo
bitter: ˗hára
black: ˗hame
blood: saßɔsako
blow: má
blow: ufu˗
bone: ifuaraifwara
branch: masemu
breast: i\asemu
breathe: mhuye
burn: ˗ka
burn: saʔ˗
cheek: igwaɬo
child: milo
claw: luxemu
cloud: ihlare
cold: sa\a
come: ˗lita
come: li\tǎ
count: fwǎ
cut: ˗ɬa
day: ˗aːmá
day: m\aze
die: ˗ga
dig: faːt\˗
dirty: ɬaɬaʔema
dog: idie
drink: aha
drink: ˗waha
dry: ˗hala\e
dust: isonka
dust: itéri
ear: ilama
earth: mpuhle
eat: la viǯu˗\a
egg: i˗kɔkɔha
eye: iʔila
face: vu˗basa
fall: asu
fall: ɬú
far: kuhlé
far: uda
father: aba
fat (n.): maɬoma
fear: bugeno
feather: luʔadaka
few: wa˗gitutu
fight: ˗maiana
finger: kisatú
finger: kunge
fingernail: luxemu
finger: χemuː
fire: mwaɬa
five: koːi
fly (v.): ˗puru
fog: ⁿgónónó
foot: ku˗saːmu
forest: kimáːže
four: hai
fruit: ěχupénǎ
full: ˗hu
give: ˗awi
give: ˗\o
good: kuɬo
grass: maháko
green: ˗hako
hair: ahlu
hair: aːsu
hand: haɭɛka
hand: izogera
hand: kundí
head: angálo
head: mua\́
hear: ˗ko
heart: swáhoswaho
heavy: maɭu ŋgiɭu
here: ata
here: i\i
he/she: hu
he/she: kuʔu
hit: mǎ
horn: iharemu
house: mǐ
how: kimomo
husband: xosa
I: ani
if: ka
I: go˗
jaw: igwaɬú
kill: ˗ga\a
knee: imuro
knee: múːɭɔ̌
know: ˗\ile
laugh: sisi
leaf: ihopi
left: hína
leg: kusa\ame
lie: ˗bo
liver: meːsǒ
liver: tiraːǒ
long: ˗\eza
louse: giɬo
louse: gǐsǒ
man: muhe
man: ßahe
many: ˗kumure
meat: garema
meat: níhiː
moon: mhlihe
moon: sihɛ̌
mother: laːgɛ́
mountain: longori
mouth: muʔo
name: iɬe
narrow: čačó
navel: mu˗heme
near: sina
neck: waka
neck: wáːχǎ
new: šá
new: ti\ale
new: tialɛ̌
night: amá
not: si
not: ta
old: ˗\eraru
old: lašu
one: we
other: hálí
person: muhe
person: vamu
play: ˗ɬaɬáha
pull: ˗húru
push: ˗hinka
rain: mare
rain: ˗ší
red: ˗bayu
right: sugano
river: haráːza
road: kwǎkwa
root: isandi
rotten: ˗bo
salt: mnaro
salt: náːḷo
sand: masanga
say: yo˗
seed: mbɛu
see: ešuːyě˗aho
sew: ˗hi
sharp: ˗ko
short: kamuːmǔ
shoulder: ki˗zɔgǎ
shoulder: zogə
sing: ˗fwarú
sister: ǐnɪnta
sit: ˗zoko
skin: mukwano
sky: ɪšarɛ́nɔ̌
sleep: ˗\i
sleep: sai
small: gitutu
smoke: mwaum\wa\u
snake: bóːme
snake: ŋɔka
spit: mapa\é
spit: ʕohoʔ˗
split: ˗k\a\a
split: ˗xa\a
stand: ˗\uma
star: ntondo
stone: isaheru
stone: išahěɭǔ
suck: áːhǎ
sun: i\azi
sweet: na\a
swell: ajáːχi
swim: ˗ko\era
tail: iharige
that: ˗ha
that: ˗hu
there: are
there: twaʔi
they: kini
they: kińi
think: ˗toti
thin: sísírí
this: ˗ka
this: ˗ka
thou: ari
three: xai
throat: mkokéra
throw: ˗bibi
thunder: lubambara
thunder: ˗pu\u
tie: ɔɭɔßǎ
tomorrow: ɬenú
tongue: lu\anda
tooth: ɪʔɪke
tree: mhatu
tree: mχato
two: nnu
vagina: igénge
vagina: kipuṕ
vomit: hoʔomi
walk: buʔ
walk: ˗gugúlu
walk: ˗so
warm: tukasa
water: ma\i
weep: i\ilíma
we: kanu
we: nine
what: mina
when: ami
where: lé
white: ˗\aku
wife: na seta
wind: sáːa
woman: m˗bora
woman: naseta
worm: itùʃàrìmì
year: mkó
yellow: ˗bizari
yesterday: ósa
you: kago˗
you: kune
