all: kwaː
and: he
and: ǀna
animal: ǁkwe
ankle: ǀno tuː
arm: ǀk\\u
arrow: ǁkě ǁa
back: kaitu
back: ǁk\oɛː
bad: dza
bad: ǀk\ao
bark: ǃgo
because: a
belly: ǀk\ɔaː
big: ǃgoː
bird: ǀhiː
bird: ǀkwi
bite: ts\i
black: ǀgoː
black: ǃkweː
blood: ǁxau
blow: ts\uː
bone: ǁkaba
breast: ǁke͂ː
breathe: ǀʌm s\a
brother: ǁka͂u͂
burn: ǁka
burn: ǁke
burn: kukwú
calf: ǀkweː
cheek: ǃkɔnɔŋ
chest: ǁkaːtu
chest: ǁnweːntu
child: ǀgwa
chin: ǁnɔ&
cloud: ǃgum
cloud: tiŋːke
cold: kiaŋ ǀhuː
cold: si͂ya
come: saː
come: se
come: si
cut: ǀgaː
cut: ǀke
cut: ǀko
day: ǁküri
day: ǃnau
die: ǀaː
dig: ǁk\au
dig: xuːŋ
dirty: ǁxane
dog: ǃkɯiŋ
drink: k\\a͂
drink: k\\e͂i
dry: k\\oː
dust: ǃa͂u͂
ear: ǃnweːntu
earth: ǃa͂u͂
eat: a͂
eat: e͂i͂
egg: ǃha͂u͂
eye: tsaxu
face: xuː
fall: ǃkuː
far: həru
far: ǃkweinya
father: ɛːŋki
fat (n.): s\üŋ
feather: ǀkhɯ
finger: ǀk\a
finger: ǀk\a ǀna
fingernail: ǁkuri
finger: ǁnaː˗ka ǀnɔ&
fire: ǀi
flower: ǃkweitn tuː
fly (n.): ǂguː
fly (n.): ǃoː
fly (v.): ǁkhou
foot: ǃkɔra
foot: ǁnaː
foot: ǁnaːxu
forehead: xuː ǀgai
forest: ʘboː
fruit: ǀgara
fruit: ǀka͂ŋ
full: ǃxaŋ
give: aː
give: saː
good: ǃha͂i͂ya
grass: ǀkeː
green: ǀkarowa
green: ǀkxre
hair: ǀkɯ
hand: ǀk\a
head: ǀnaː
heart: ǀga͂i͂
heart: ǀgeː
hear: tuː
heavy: ǃna͂i
here: a
here: ki
here: ki ɛː
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: ha
he/she: haha
he/she: haha
he/she: ha˗ka
he/she: ha˗ka
he/she: ha˗ka
he/she: ha˗ka
he/she: haŋ
he/she: haŋ
he/she: haŋ
he/she: haŋ
he/she: haŋ
he/she: haŋ
he/she: haŋ
he/she: haŋ
he/she: ˗ya
he/she: ˗ya
he/she: ˗ya
he/she: ˗ya
hole: tuː
horn: ǁke͂i͂
house: ǁnei
hunt: ǁkʔwaː
hunt: ǁxwaː
husband: doː
husband: ǀkoː
I: a
if: ki
I: ˗ke
I: ˗ki
I: m
I: m
I: n
I: na
I: ŋ
I: ŋ
I: ŋ
I: ŋ˗ka
I: ni
kill: ǀaː
kill: ǀkaː
kill: ǀkiː
knee: ǀnɔ͂
know: ǁkhai
laugh: k\a͂i͂˗a͂
laugh: k\\a͂re
leaf: xero
leg: ǃkɔːgən
leg: ǃk\uːka
lie: keːŋ
lie: kia
lie: tia
lie: tu
lip: ǀkogən
live: ǀkaː
liver: ǁnaiŋ
long: ǀaː
long: ǃxoːwa
louse: ʘmoinja
man: tu͂
many: ǃna͂i͂
many: ǃne
meat: ʘpwao
moon: ǃkɔro
mother: xɛːnki
mountain: ǃkau
mountain: ǀnau
mouth: tuː
name: ǀke͂
navel: ǃneiŋ
near: ki
near: ǁna
neck: ǃkuː
new: ǂe͂
new: ʘpwa
new: txeː
new: ǃxeː
night: ǁga
not: ǀna
not: ǀnɔ
old: ǀgaæ
old: ǃnaiŋ
one: ǁkwe
other: ko
other: koke
person: ǃkwa
play: ǃkɔra
rain: ka͂u͂
rain: ǂkoː
red: xreː
river: ǀk\e͂i͂
road: tirau
round: kəkɛriŋ
rub: ǁeri
rub: ǀkuna ǀeː
rub: xeruː
say: ǁa͂la
say: ka
say: ǁkala˗a͂
say: ǁkei
say: koaː
see: ǀkeːn
see: ǀnaː
see: ǀniː
sew: ǁe͂ːŋ
sew: ke͂i͂ŋ
sew: ǁkxame
shoulder: ǁkweːn tu
sing: ǂeːki
sing: ǀneː
sing: ǃwi
sister: ǁkaːxe
sit: s\ɔː
skin: ǀkou
skin: tu͂ː
sky: ǃkaːxu
sleep: kia
sleep: ʘpwoiŋ
small: ǂi͂
small: ʘpwoinki
smoke: ǂkwi
snake: ǀk\aːse
snake: ǀk\au
spit: ǁɔ&ho&
stand: ǁna
star: ǁkweisa
stone: ǃkau
stone: ǃku
stone: ǃnei
suck: ǀkaːke
sun: ǁko͂i
sweet: ǃkau
tail: ǃkei
take: ǀkau
take: ǀke
take: ǀki
take: ǀna
that: a
that: he
that: ǀne a
there: keː
there: ki
there: kieː
there: ǁna
they: ha
they: he
they: hi
they: hi˗ka
they: hŋ
they: hɔ
think: ǂe͂
think: ǂi͂
this: a
this: ǁna
thou: a
thou: a
thou: a
thou: a˗ka
thou: ake
thou: u
thou: yu
three: ǃnwana
throat: ǁxreːtu
tie: ǃkai
tomorrow: ǃkiŋki
tomorrow: ǁko&i&˗kɔː
tongue: ǀe͂
tooth: ǁke͂i
tree: ʘbo
tree: ʘhoː
turn: kaːo
two: ǃku
walk: ǁa
walk: ǁaː
walk: ǁana
walk: ǃkeǁa
walk: ǃkeja
walk: ǃnoeya
walk: tɑ͂i͂
walk: tsuː
warm: hai˗i
warm: ǁkoːna
warm: ǃkwɔna
wash: ǁəri
water: ǃkhwaː
weep: k\\a
we (excl.): si
we (excl.): si
we (excl.): si
we: i
we (incl.): e
we (incl.): e
we (incl.): ˗hi
we (incl.): ˗hi
we (incl.): i
we (incl.): i
we (incl.): i
we (incl.): i
we: si
wet: kauːke
what: dye
what: kisi
where: ti˗ɛ
white: ǀɔːwa
who: tu eki
wife: ǀeːki
wind: ǃkhwe
wing: k\aːka ǀkəreː
wipe: ǀiːkia
with: na
with: ǁna
with: ŋ
woman: ǀgaiki
woman: ǀkaŋ
wood: ǁkha
wood: ǃnwe
