all: buŋgu-bu
animal: d̪iŋgaː(n)
ankle: maguṇ
arm: biː
arm: n̪uru
ashes: n̪ama
back: magala(n)
bad: waraːy
bark: waluː
belly: burbi(n)
big: bibir
big: -bidi
bird: d̪ibi
bird: d̪inin
bite: gad̪i-
bite: mad̪aː
bitter: gadi
black: buluy
blood: guwayn-
blow: bumba-
bone: ŋimbi
boy: d̪uːr-gaː
branch: gugur
breast: ŋamun
breast: ŋamu(n)- d̪ana(n)-
breathe: n̪aːn̪d̪al
burn: banga-
butterfly: bilyubilyugaː
calf: buyu
cheek: d̪agal
child: buraːy
claw: yulu
cloud: guːwa
cold: gamaː
cut: d̪u-r
cut: gagi-
daughter: buraːy
die: balu(n)-y
die: buga
dig: baga-l
dog: miri
drink: muːnda-l
drink: naːɹ̣u-
dry: budu
ear: bina
earth: d̪agun
ear: (w)ud̪a
eat: d̪a-
eat: muːnda-l
egg: gabu
egg: gabugaː(n)
elbow: munuːga
emu: ŋuruy
eye: mil
face: ŋulu
fall: d̪uwa-y
far: guraːr
father: baːbaː(n)
fat (n.): gund̪al
fear: giyan̪d̪a-
feather: muwa
few: gulbir
fight: buma-la-y
fingernail: yulu
fire: ŋalan
fire: ɟuɹ̣iɲɟuɹ̣in
fire: wiː
fire: wiːn-
fish: guya
flower: gurawin
fly (v.): bara-
fog: babilaː
foot: d̪aŋa
foot: d̪ina(n)
foot: n̪an̪a
forehead: ŋulu
four: bulagar bulagar
girl: winar-gaː
give: ŋu-y
good: yadama
grass: guɹ̣u(n)
green: giːɟan
hair: muwa
hair: wuran
hair: wuwi
hand: maɹ̣a
head: bala
heart: giː
hear: winaŋa-l
hear: winaŋa-l
heavy: wiriwal
here: ŋini
he/she: -lu
he/she: -lugu(n)
he/she: -na(n)
he/she: -na(n)
he/she: -ni(n)
he/she: -ni(n)
he/she: -yu
hit: buma- ~ guma-
hole: munil
house: guɲɟi
how: wiɟu
hunt: manabi-y
husband: gaːrigaː
I: ŋad̪i
I: ŋad̪i
I: ŋad̪u
jaw: d̪agal
kangaroo: girbaɟa
knee: bundaːyŋ
know: d̪iːrba-y
laugh: ginda-y
leaf: giraː
lie: yuwa-
lightning: migima-y
liver: garulu
long: baːmir
long: baːmir
louse: d̪inil
louse: gabul
man: d̪uːr
many: buŋgu
many: madu
meat: d̪iŋga
moon: gabadaː
morning: -ŋari-y
mosquito: gamugin
mother: guniː(n)
mountain: d̪irama
mouth: ŋandal
name: yuwim ~ yuwin
neck: wuru
new: d̪alaŋay
new: d̪alaŋay
night: -ŋabi-y
night: ŋawu
not: waŋaːy ~ wayil
old: gugayaŋgay
old: marayibiya(n)
old: wulduman
one: maguː
other: maga(n)
person: mayi(n)
play: wagayma
rain: ŋiɟa-l
rain: yuru(n)
red: girabaɹ̣ay
ripe: wigi
river: galin-
road: muru
root: waɹ̣an
rotten: buga
rotten: gabur
say: ŋiya-l
say: ŋiyara-
scratch: birma-
see: ŋaː-
see: ŋaː-
sew: wuraŋa-l
sharp: d̪alaːym-baːr
short: bubay
shoulder: ganaː
sing: wagayma-
sit: wiː-y
skin: yulaym
skin: yulaym
sky: balima
sleep: mugaː
small: bubay
smell: bud̪a-
smoke: bud̪u
snake: d̪uru
son: buraːy
spit: ŋaɲɟar
split: wirba-
stand: waɹ̣a-y
star: girala
stone: gaɹ̣ul
suck: ŋamu(n)-y
sun: d̪uni
swell: buːwa(n)-y
swim: guɹ̣uŋa-
tail: d̪un
take: gaː(n)-y
take: mama-
take: manuma-l
that: ŋana
there: ŋani
they: ŋaligula
thigh: d̪ara
thin: giɲar
think: winaŋa-y
this: ŋina
thorn: mugar
thou: ŋindu
thou: ŋindu-gal
three: bulagar maguː
throat: gaday
throat: n̪ugiː
throw: wana(n)-y
thunder: bandur
tie: bandi-
tomorrow: gambira
tongue: d̪alay
tooth: wiran̪-
tree: gugur
turn: gilaːywa-
two: bulagar
unripe: magi
vagina: munu
vagina: walya
vomit: gaːbi-l
walk: bibuwa-y
walk: yana-
walk: yana-
warm: giruː
warm: wiːwiːn
water: gali
weep: yuŋa-y
we (excl.): ŋiyanu-na
we (incl.): ŋiyani
we (incl.): ŋiyanu
we: ŋiyanigiː(n)-
we: ŋiyanigiː(n)-
wet: mad̪aː
we two (excl.): ŋali-na
we two (incl.): ŋali
we two (incl.): ŋaligiː(n)-
what: miɲa(n)-
when: wiɟubaːru
where: wan̪d̪a-la-waː-
where: wan̪d̪a-li-waː-
white: bangabaː(n)
who: ŋaːndi
wife: buduŋ
wife: ŋuwan
wind: miːr
wing: n̪uru
wipe: gaːnba-
woman: winar
wood: gugur
wood: gugur
wood: yad̪a
yesterday: gambira
you two: ŋindu-bula
