all: t̪uɣu
arm: rúʔbú
arrow: gùndá
ashes: kukú
back: kaga
bad: kaḍi
because: koro
because: koru
belly: uču
big: bäŋgka
bird: wèri
bite: oʔɔ
bitter: ɔŋu
black: iri
blood: usa
blow: apá
bone: čúŋgú
boy: ʔdika(n)
breast: vovo
brother: unḍṭu
burn: ásá
burn: ɑ̀ŋú
chest: mágú
child: uʔdu
chin: ndàʔbú
cloud: kɔ́rɔ́kɔ́
cold: asu
come: aʔbu
count: úḍo
crocodile: reǯe
cut: ɔ́gɔ́
cut: údyu
daughter: ɔḍ˗oŋon
day: t̪uʔu
die: irri
dig: daʔdi
dog: čino
drink: amú
dry: ɔŋgko(ne)
dust: buḍə
ear: mimbi
earth: bùḍö
eat: aɲ
egg: aʔi
eye: iɲi
face: iɲi˗nikpa
fall: atyi
far: ama(ni)
father: ada
fat (n.): kenɟi
fear: ete kɔ̀čú
fear: kòčú
few: paɾa˗tiyo
fight: ɛ́rène
finger: gbɛǯ˗íɲí
fingernail: kiŋgbi
finger: uʔdu˗kaɲan
fire: uč(w)a
fish: kónò
five: nieɾu
fly (n.): vuvu
fly (v.): ándì
forest: binɟi(ri)
four: baʔdi
girl: uʔdu˗oŋɔn
give: äbá
give: err
good: inḍṭi...
grass: kunò
hair: bibi
head: ḍẓuḍẓu ~ ɟuɟu
hear: áyi
heart: mágú
heavy: änä(ni)
here: t̪ò
he/she: (s)isi
he/she: (s)isi
hit: ẹnḍṭ(e)
horn: deɾe
house: ǯuʕu
how: agaʔdi
husband: waḍa
I: ama
I: (ma)ma
kill: apäʔi...
knee: kúkú
know: ku˗miːɾa
lake: gágá˗ʔbaʔban
lake: kàpá
laugh: ága
left: ŋgári
lie: erre ǯɔ
lip: gbogbo
long: oso
long: oso
man: waḍa
man: waḍa
many: ada(ni)
meat: umbú
moon: kápá
morning: moːkuyən
mosquito: ndùwá
mother: umo
mountain: gisi
name: kiri
navel: kúmú
near: ʔbaka
neck: kómó
new: rrẹʔbẹ
night: ku˗gusun
not: ayu
old: akaʔ
old: dirri
one: kpá(ː)
other: waḍìnì
person: iʔi
rain: átyá
rain: ʔbaʔba
rat: gènde
rat: wẹ̀tyí
red: raʔda
right: ŋgagbà
ripe: ŋgoro
river: ʔbaʔba(n)
road: (i)ɲi˗kùŋgba
rope: kùnḍɔ́
salt: kònú
sand: kéɲì
say: ádu
say: ɾeme
say: oḍo
see: ákù
seed: tumu
sharp: áčà
short: aŋgere
short: dùrí
shoulder: kpákpá
sing: abí˗kuku
sister: úm˗oŋɔ
skin: ŋgrákù
sleep: (i)pi
small: gáːgè
smell: äŋi
smoke: kókó
snake: ɾiɾi
son: uʔdu˗ʔdikan
spit: do ŋgòčúː
spit: kòɲú
spit: ŋgozú
split: uʔba kòtyí
stand: uɾut̪u
star: ŋgäd̈
stone: gìsí
suck: alu˗
suck: err(e)˗
sun: kúɟò
sweet: kama
tail: soso
take: àʔú
that: ḍẹn
that: kpii˗ḍẹn
that: ndẹ˗táː˗ḍẹn
that: táːḍẹn
there: ŋgɔ
there: tẹ̀n
they: (s)isini
thick: eʔdi
thin: ŋgáràŋgbá
thin: pɛmbermbe
this: ḍẹn
this: ḍo
this: iḍe
this: iḍen˗
this: iḍo
this: iḍon
this: ndẹni
this: yo
thorn: ladyi
thou: (mu)mu
thou: (mù)mù
thou: umu
thou: ùmu
three: buto
throw: àná
tie: uruɲa
tie: (u)tyu
today: ɾáːḍì
tomorrow: ŋgaǯa
tongue: ndindyi
tooth: uku
tree: číčí
two: ʔbɪra
walk: ánǯá
walk: iya
walk: rínkà
warm: aŋga˗ugu
warm: ànkà(ne)
wash: ut̪ua
wash: ut̪ua˗
water: ʔbaʔba
water: bíbí˗ʔbaʔban
we: àmà
weep: water of eye\
we: (mà)mà
wet: imi
what: ɔro
when: dyi˗ugu˗naʔadi
where: (am)dʔdi
white: kusue
who: ɔŋɔ
wife: nɟonɟo
with: (i)dyi
with: (i)dyi
woman: ɔ̀ŋɔ
woman: úmú
wood: čiči˗wän
wood: kòrɔ́
year: keʕwu
yesterday: kaǯá
