all: iravi ~ iragi
animal: man
ankle: airanip
arm: avin
arm: avin
arm: nani-ua
arm: nani-ua
arm: nani-wa
arm: nani-wa
ashes: gom
ashes: pom
back: gari
bad: koe
belly: bagu
big: bawar
bird: neni
bird: neni
bird: nenip
bird: nenip
bird: nenip
bird: nepip
bird: nepip
bite: adum
bitter: sisi
black: pumpuni
blow: upun
bone: kaima
boy: tamaru
branch: onep
brother: goani
brother: nao
brother: tas
burn: yagik
child: orup
child: otun
cold: amun uon
cold: irot
come: onam-
count: batnak
dark: pumpuni
day: augaya
day: marek wand-en-i
day: oam
die: bo-
die: bop
die: wakauam
dig: tu-
dirty: bigip
dog: eao
dog: eao
dog: eao
dog: eao
dog: okoi
dog: okoi\i
dog: okoi\i
drink: na-
dry: oaewa
dust: atagin
ear: daline-va
ear: daline-va
ear: daline-wa
ear: daline-wa
ear: darine
ear: darine-a
ear: darine-a
earth: pia
earth: piup
eat: na
eye: eame-va
eye: eame-va
eye: eame-va
eye: iamana-wa
eye: iamana-wa
eye: yama
face: gine namu
face: gini-namua
face: gini-namua
fall: geamo
fall: gear-
far: wandap
father: ambei
father: ambei
father: amboi
father: amboi
father: amboi
father: mama
fear: tap
feather: gume
fire: merawa
fire: oma
fire: oma
fire: oma
fire: oma
fire: oma
fish: meo
fish: meo
fish: meo
fish: ne\o
fish: ne\o
five: nani-iamu
five: nanin-eamu
five: nanin-emene
flower: rarema
foot: ame-gwane-va
foot: ame-gwane-va
foot: ameva
foot: ame-va
foot: ame-va
foot: pusi
four: degede
four: de-ge-de
four: de-gi-de
four: degi-degi
fruit: tave
full: e-
give: wan
good: aipak
good: kakae
hand: nanagwania
hand: nanagwania
hand: nani-gane-va
hand: nani-gane-va
hand: nnai
head: ianup
head: iap
hear: anu
heavy: itani
here: mapa
he/she: -e
he/she: -e
he/she: me
he/she: me
he/she: me
he/she: me
he/she: me
he/she: mega
he/she: mega
he/she: megava
he/she: megava
he/she: me-gava
hit: to
hold: nase-
hole: awan
hole: urat
horn: don
house: ima
house: ima
house: pa
house: pa
house: pa
house: pa
how: anen(en)
husband: meima
I: -na
I: ne
I: ne
I: ne
I: nega
I: negava
I: ne-gava
I: nei
I: nei
kill: gur-
know: tambu-
lake: awan
laugh: top
leaf: bage
leg: agua
leg: agua
leg: am
leg: am
leg: ame-wa
leg: ame-wa
liver: goana
long: nonoŋga
man: apan
man: apan
man: apan
man: apan
man: apani
man: apani
many: aruga
moon: silagam
moon: silagam
moon: siragam
moon: tilagam
moon: tilagam
moon: tilagam
morning: mumaget
morning: wan se-n
mother: anani
mother: ina
mother: ina-n
mother: ina-n
mother: ina-n
mother: inani
mountain: nikaema
mountain: togana
mountain: tunup
mouth: no-
name: yau
near: maina
new: ewake
night: mum
not: ae
not: uon
not: ya
one: da
one: da ~ daiton
one: deson
one: deson
one: neito
other: yamu
person: orup
person: otua
play: kae
pull: buna
pull: warup
rain: ugi
rain: ugi
rain: ugin
rain: ugin
rain: ugin
rain: ugin
rat: nonaŋkae
red: dendeni
ripe: boa
road: negi-kamutu
road: negi-kamutu
road: neigin
road: nevin
road: nevin
road: pu
road: pu
root: i
rope: damik
salt: siuran
say: wa
sea: puiman
seed: make
see: yaŋgut
see: yawa-
sharp: wani
short: bobou
shoulder: one
sister: domar
sister: goani
sister: tas
skin: grtav-
skin: wapi
sky: kiman
sleep: in
small: otu
smoke: dagin
snake: mokare
son: otu
spit: giton
split: wadum
stand: yon
stone: goat
stone: guat
stone: guat
stone: guat
stone: guat
stone: kwate
stone: kwate
straight: tamam
suck: mitnage-
sun: marek
sun: oam
sun: wa\am
sun: wa\am
sun: wam
sun: wam
sun: wam
sun: wan
swim: dup
tail: veri
take: up
take: wat
they: -e
they: mu
they: mu
they: mu
they: -mu
they: muga
they: mugava
they: mu-gava
thigh: aguna
think: anu
this: ma
thou: e
thou: ega
thou: -ga
thou: ge
thou: ge
thou: ge
thou: gea
thou: gea
thou: gega
thou: gegegava
thou: gigava
thou: gi-gava
thou: he
thou: -ya
three: eampo
three: iampo
three: iampo
three: yampo
throw: uase-
tie: pan-
tie: tau-
today: endi
tomorrow: iman
tongue: merip
tooth: nodone
tooth: nodone
tooth: nokanea
tooth: nokanea
tooth: no-k don-e
tooth: nokemia
tooth: nokemia
tree: anop
tree: gamop
tree: oma
two: de
two: de
two: dea
two: de ~ dere
vomit: merip
walk: ae
walk: ap
warm: amun uon
wash: bigi
wash: dup
water: kaum
water: kom
water: kom
water: koum
water: koum
water: koum
water: mea
weep: irip
we: nu
we: nu
we: nu
we: -nu
we: nuga
we: nunugava
we: nunu-gava
what: dim
when: ani ~ andi
where: amba
who: da
wife: oaen-
woman: aen
woman: aen
woman: aen
woman: oaen
woman: wai\in
woman: wai\in
wood: gaut
wood: gerok
wood: oma
worm: komasi
year: en
yesterday: wata
you: gege-gava
you: he
