all: bija
ashes: leʔe
bark: k\urubi
belly: goːb\i
big: dɛːp\i
bird: kəːfi
bite: d\ay
black: kartsi
blood: sɨguːtsi
bone: migutsi
breast: d\aːntsi
burn: et
burn: miːče
claw: ts\ʊngo
cloud: šaːri
cold: č\iːši
come: hani ye˗ʔe
die: hayk\˗e
dog: kaːni
drink: ʊšk˗e
dry: mɛlzi
ear: wɔyzi
eat: mu˗
egg: b\uːla
eye: aːfi
fat (n.): məːli
fire: taːmi
fish: mɔllo
flower: buni
fly (n.): wʊtsɛlɛ
foot: toki
give: ɪng˗
good: kʊši
grass: maːti
hair: gəmi
hand: kʊči
head: toːki
heart: in˗a
heart: saːza
hear: wajz˗
horn: rɔːri
I: taːni
kill: b\ɔd\˗
knee: guːši
know: er˗
leaf: bɔːnča
liver: maːyzi
long: ɔdoːsi
louse: č\ugʊči
man: aːsi
many: mɛrge
meat: aški
moon: agɪnne
mountain: gɛmeri
mouth: d\aːŋga
name: sʊntsi
neck: k\ɔrč\e
new: aːki
night: d\uːmi
one: pɛte
other: mɛlle
rain: irzi
red: zoːk\e
road: gɔytsi
root: ts\ɛp\i
sand: maː\šala
say: geʔ
seed: zɛrtsi
see: zəg˗
sit: de˗ʔe
skin: zɛːd\i
sleep: lah˗
small: d\aka
small: ts\ik\o
smoke: č\ubi
snake: šoːši
stand: ɛk\˗
star: wʊč\o
stone: šuči
sun: aːbi
swim: ts\ub˗
tail: ʊːnki
thin: guːtsi
this: hay
thou: nɛna
three: haːytso
tongue: ɪn\dirsi
tooth: aːči
tree: mɪtsi
two: lɛmʔɔ
walk: aːd\˗
warm: trɪbo
water: waːtsi
we: nu(na)
wet: aʔe
what: aygo
white: bɔːre
who: ɔːni
woman: laːli
