back: dudunu
belly: po\olo
big: lamo\o
big: lamoʔo
big: lamoʔo
black: kokotu\u
black: kokotuʔu
black: kokotuʔu
boy: tubaie
boy: tubaie
breast: wawo\o
child: ngo\a\a
child: ŋoʔaʔa
child: ŋoʔaʔa
cold: malata
crocodile: samana
crocodile: samana
crocodile: samana
cut: duiti
dark: tadusu
die: seŋene
die: seŋene
dog: kauna
dog: kauna
dog: kauna
ear: ngau\u
ear: ŋauʔu
ear: ŋauʔu
eat: oromo
eat: oromo
eat: oromo
eye: la\o
far: kudutu
fingernail: gitjiwidi
fish: ɲaʔo
fish: nya\o
five: romotoa
five: romotoa
foot: rou
foot: rou
four: rata
fruit: sowo\o
girl: mosolese
girl: mosolese
good: laa
hair: utu
hair: utu
head: sa\e
head: saʔe
he/she: muna-nga
he/she: unanga
house: wola
house: wola
husband: were\a
I: ngoi
know: waro
lake: ngoloto
left: gubadi
long: ka\udu
man: naudu
many: repe
many: repe
meat: la\eme
mountain: kie
mouth: udu
name: lomanga
name: lomaŋa
neck: tjamala
night: lobidi
nose: ngunungu
old: piri\i
road: ngo\omo
say: adjele
say: aǯele
shoulder: bele\asa
sit: teru
sit: teru
smoke: loworo
tail: di\imi
tail: diʔimi
they: ane-nga
thou: ngana
three: roange
three: roaŋe
tie: piɲiʔu
tooth: ingidi
two: romodidi
two: romodidi
wash: ori\i
water: banyo
water: baɲo
weep: oŋoro
we (incl.): ngene
we: ngomi
white: budana
wife: wereʔa
wind: latoro
wind: waroto
woman: were\a
woman: wereʔa
wood: ate
wood: ate
you: ngini
