all: ɓil
animal: ama mariːd̪u
arm: nisinɛ́
arm: nissu
ashes: fuɗʊ́ʔ
back: dɔ́(ː)lárɛ
back: dɔlɛrɛ
back: kʊ˗dɔ́(ː)lárɛ
bad: t̪aɟɔ́
bark: ffɛ́k
bark: índi˗fɛ́k
bark: nḍɪ˗fɛk
belly: aːdí
belly: nigidí
big: ablúŋɔ́
big: ablúŋɔ́
bird: d̪˗aːwík
bite: ŋiɗʊðu
black: áɗuk
blood: arid̪ʊ
blow: fɪllɪ́
bone: koːɓá
bone: t̪úŋʊ́ɓa
boy: bəla
boy: ɓəlá
branch: anasɔ kaɗi
branch: anɔ́sɔ́
branch: ɓəlánɔsó
breast: t̪ʊ˗nʊgʊ
breathe: ála aɲʊ́
brother: aríyɛ́
brother: nigɛríyɛ́
burn: t̪afínɛ
child: kaɲɲá
claw: t̪ʊŋ˗sʊáːla (d̪˗aːwík)
cold: t̪iŋɟul
come: ɗɛ́ya(ŋ)
come: dia
count: inɔ́ːní
cut: átɛ́k
cut: tɔ́(g)ɔ́d̪ɔ
day: ʊrʊ́
die: ayi
dig: aɗɪ́
dirty: ɟílɔ́
dog: art̪ɪ́ːnɪ́
dog: eːra
drink: wɛ́
dry: armɛ́
dust: andúk
ear: anasɔ
ear: anɔ́ːsɔ
ear: nɔːsɔ
earth: ɓattúl
earth: batul
eat: kurɪ́
egg: t̪ʊ˗súlɛ
eye: ayyɛ
eye: nigɛ́ːnɛ́
fall: ɗúŋgɛ(˗mi)
far: illur
father: fa(ŋ)
father: nugúfaː
feather: kʊlɔ́
feather: t̪ʊ́ŋʊ́lɔ
few: asɔ́gɔ́
fight: akárə́ɓɔk
finger: ɓəláː˗níːsʊ́
finger: bɪla˗niso
fingernail: kaɲá gʊ˗sʷaː
fingernail: t̪ʊŋ˗sʷáːlá
fire: assi
fire: issí
fish: t̪an˗aːra
five: dúmmʊ́
flower: t̪ʊ́˗dʊli(ŋ)
flow: íssʊ́
fly (v.): lɛflɛ
fog: t̪úŋɔŋɔ́k
foot: ʊ́nnɛ́
foot: nʊ(ŋ)ʊnɛ́
forehead: tɔtak
forest: ndílɛ́˗ŋáːd̪í
four: gíssʊ
full: adiŋinɛ́
girl: nera
give: náː
good: íyyɔ(ŋ)
grass: ssak
green: agɪ́r(í)
guts: t̪aŋ˗assissi
hair: t̪i˗ɲiɓá
hand: nisinɛ́
hand: nissʊ
head: amɗú
head: and̪u
head: n˗amɗú
hear: finʊ́
heart: ɓəla˗d̪únúgu
heavy: am̀nɔ́gɔ
he/she: ago
he/she: ago
he/she: agu
he/she: agu
he/she: ˗aŋi
he/she: ˗aŋi
he/she: ˗iŋ
he/she: ˗iŋ
hit: bâ
hole: ayye
hole: nigɛ́ːnɛ
horn: kíːd̪ɔ́
horn: nḍɪ˗giḍo
horn: nd̪i˗gíd̪ɔ
house: ɗi
house: lak
hunt: (sáŋá) gɔlɔ
husband: daɟɔ́˗
I: aʔa
I: áʔa
I: ˗iɲa
kill: ɛːd̪áːná
knee: mmí
knee: na˗mí
know: mútu(ŋ)
lake: fə́lák
laugh: ad̪íyɔ́
leaf: t̪u˗súlʊ
left: gúl(l)ɛ́
leg: ʊ́nnɛ́
leg: nʊ(ŋ)ʊnɛ́
lie: fúŋʊ
lie: yɔ́k
liver: ɲí
liver: na˗ɲí
live: t̪ifɛ́
live: t̪íːnʊ́
long: asəgálá
louse: kɪd̪ɪɗí
louse: t̪íŋínd̪íɗi
man: 
man: d̪aːɟɔ́
man: kad̪otayogo
man: ɟɔ́gɔ́
many: ad̪iŋinɛ́
meat: oːɗá
moon: t̪ɛrɛ́
moon: terei
mother: ndeː˗nigínde
mountain: kayanɪ́
mountain: kayanɪ́
mountain: mea
mountain: mea
mouth: namnáːd̪í
mouth: niːnʊ
name: ɛrɛ
name: kɛrɛ́ːnɛ́
narrow: at̪uɗíːgí
near: agart̪ɛ
neck: kidiŋir
neck: tiŋir
new: mat̪t̪ík
night: t̪áɗúmɓɔ
nose: ɓ˗arwɔk
old: ɓɔkkɛ́
old: d̪˗adfí
old: k˗adfí
old: ku˗ɓɔkkɛ́
old: mára
one: tʊːl
person: kad́úgú
person: kɔ̆
play: abəlá
pull: asík
push: kúr(r)ɔ́
rain: ammí
rain: ummei
red: abbɛ́
right: gʊ́rí
river: kirí
river: nigírí
road: fini
road: fíní
road: ni˗fíní
root: ɛ́ːrɛ́
root: t̪ʊgumɓɛ́rɛ́
rope: t̪˗áːrík
rotten: aɲɔrɔk
round: aɗugúllú
rub: t̪ʊd̪ɔ́d̪ɔ́
salt: kaɗál
sand: sɛsɛk
say: íɓá (sani)
scratch: gwaːra
scratch: kɔrkɔ́d̪ɔ́
seed: t̪u˗múlóá
see: iːd̪ʊ ~ ind̪ʊ
see: t̪iːnʊ
sew: ɗʊla
sharp: arɓígí
short: at̪id̪írí
sing: awɪ́
sister: arí yɛ́
sister: nigɛríyɛ́
sit: mʊk
sit: mɔg˗mɪ́
sit: mɔ́k
skin: adʊ́ːɔ́ní
sky: ɗɔnsal
sleep: arkid̪ɛ
small: asɔ́gɔ́
smoke: tíːkʊ́
smooth: kilikilílík
snake: mamáːlák
snake: ni˗mamáːlák
split: afɛ́rɛ́d̪ɔ́
squeeze: at̪irɛ́d̪ɔ
stand: abíyɛ́
star: adiŋík
star: t̪əmádíŋik
star: timadeigi
stone: gu˗síník
stone: mi˗síník
straight: kúrkúrik
suck: ɓoá
sun: aiya
sun: ayá
sweet: kud̪ek
swell: awɔ́ní(ŋ)
tail: íːdík
tail: nig˗íːdík
take: mʊ́
take: ɪyá
they: agi
they: ai
they: ˗ɛŋ
thick: aguɗɛ́rɛ́
thin: ʊ́rrɪ́
thorn: ɪnḍ˗ɪmɪk
thou: ʊ́ʔʊ
thou: aga
thou: aga
thou: ˗aga
thou: ˗ɔ
thou: ɔʔɔ
thou: ˗u
three: ɗɔ́ːná
throw: irənéy
tie: mʊ́ɗɛ
tongue: anɗɔ́ːnɛ́
tongue: t̪aŋʊɗɔ
tooth: kɪːnɪ
tooth: t̪ɪŋɪnɪ
tree: kaɗi
tree: kaːɗí
tree: pingadi
tree: t̪aŋaɗí
turn: afad̪ák
two: áríya
vomit: afáːní
walk: fanga
walk: sáŋa
walk: wáːnɪ
warm: ŋúɗáni
wash: awáːnɪ́
water: bidi
water: ɓiːd̪i
we (excl.): aŋʊ́
we (excl.): aŋʊ́
we (excl.): ɔŋɔ
we (excl.): ɔŋɔ
we (excl.): ˗ɔŋɔ
we (incl.): aŋa
we (incl.): aŋa
we (incl.): ˗aŋa
we (incl.): ˗aŋa
we (incl.): aŋá
we (incl.): aŋá
wet: ifík
what: məná
when: ád̪a
where: gidíyɛ́
white: abrá
who: ndá
wide: afláŋá
wife: aya
wife: nimɪ́yá
wind: aɲʊ́
wing: kurt̪ɔ́k
wing: nd̪ugurt̪ɔ́k
wipe: ad̪iyʊ
woman: aya
woman: nimia
woman: nimɪ́yá
wood: arík
wood: n˗arík
worm: t̪aŋ˗aɗinɔ
year: ki˗yɛ́gɛ́
year: yɛ́gɛ́
