ankle: wuḍaʎi
arm: ɟaḷu
arm: bulalaɟaḷu
arm: munŋuɟaḷu
ashes: ganbuṇa
ashes: ɟuḷurbura
back: banduma
back: didibara
back: duriɲa
bad: bagiga ~ bagiɟi ~ bagiŋa
bark: baḍgabaḍga
belly: ɟuɹ̣uma
big: baɟbaga
big: bugayi
big: buguwa
big: maḷiwa
big: maḷiyi
big: ŋamaɟɨ
bird: ɟulaɟi
bird: ɟulaŋa
bite: ɲambaḷi
bite: dawu
bite: gudayibi
black: ɟaɲala
black: ŋumuɟi
black: ŋumura
blood: iliri
blow: buḷiɲɟa
blow: buḷiɲɟa
blow: buḷuḷandu
blow: burgbaɲɟu
bone: galaː
boy: ala-ɟi
boy: wala-ɟi
boy: wala-ɟi
branch: labaḷabaṇga
breast: ŋabuḷu
breathe: ŋaḷiɟbi
brother: baba
brother: bayiliɟɪ
brother: gagulu
burn: daburi
burn: naɟ-bi
burn: naɟ-bi
burn: naɟ-bi
butterfly: waḍbaɟi
calf: gunmara
calf: ŋaʎaŋaʎa
cheek: gaṇmaŋga
chest: linka
child: ala-ɟi
child: maɲɟala
chin: ɟaṇḍama
claw: iriʎi
cloud: buluṇu
cloud: ŋuɹ̣uɟi
cold: gariɟi
cold: ŋaɟiri
come: yaru
crocodile: binbayi
crocodile: maḍumbara
crocodile: wariɟi
cut: daʎagaɲi
cut: dargulumi
cut: dawu
cut: dudiyari
cut: ɟimbulu
cut: ɟunmi
die: balaɟi
die: gudiɟbi
dig: guliyari
dig: ŋuya
dirty: wagula
dog: ɟaɲɟi
dog: galalariɲɟi
dog: waŋgamayi
drink: ŋaɹ̣a-bi
drink: ŋaɹ̣a-bi
drink: ŋaɹ̣a-bi
dry: buyuru
dry: warawuʎi
dust: ɟundura
ear: manga
earth: ɟamba
eat: gaɟ-bi
eat: gaɟ-bi
eat: gawu
egg: gilwa
egg: margulu
egg: rawuwaŋgu
elbow: muɲɟuna
emu: gaṇaŋaɲana
eye: ibiɟibiɟi
eye: milindi
eye: muḷu
face: waɹ̣a
fall: baḍgu
far: maḷu
father: iḍa
fat (n.): guriɟa
fat (n.): guriɟa
fear: dura
fear: ilagbi
feather: maḍaɟa
few: gaṇḍaṇḍawuga
fight: baḷa
fight: daguma
fight: maɟbi
finger: ɟaŋa
finger: labira
finger: maṇa
fingernail: iriʎi
fire: guyiga
fire: ŋaŋaba
fish: gaguwi
float: bulubulugbi
flow: baḍbi
flower: yubulala
flower: yurka
flower: yurka
flower: yurka
fly (n.): waṇŋaɲɟi
fly (v.): baba
fly (v.): diŋbaɹ̣i
fly (v.): wilwili
foot: ɟaŋa
foot: mandawayi
foot: munŋuɟaŋa
forehead: waɹ̣a
forest: dudu
forest: guḍu
fruit: maɲɟa
full: bunduriɟbi
full: bunduru
full: bundurumi
girl: ala-ŋa
girl: wala-ŋa
girl: wala-ŋa
give: ɟiyawu
give: wiɟ-bi
give: wiɟ-bi
good: guɹ̣iɟbi
grass: bigira
grass: waṇḍa
grass: waṇḍa
guts: gagama
hair: ɲuŋga
hair: ɲuŋga
hand: labira
hand: maṇa
head: damaŋga
head: guyaguya
head: kula
hear: iliŋa
hear: iliŋa
hear: mangu
hear: mangu
heart: guḍuḷu
heart: maɹ̣ala
heavy: ɟaḷwaḷa
here: baŋaṇi
here: ginmaɲɟi
he/she: ŋaŋi
he/she: ŋayaŋi
hit: daguma
hit: luḍbi
hit: maɟ-bi
hit: maɟ-bi
hold: waɹ̣ima
hole: lagura
house: barawu
how: wuɲɟugu
hunt: alalaŋmi
hunt: ŋirigbi
husband: gaɹ̣i
husband: muŋguɟbila
I: ŋari
I: ŋawu(ṇiɟi)
I: ŋawu(ṇiɟi)
jaw: gaṇmaŋga
kangaroo: maraɟi
kill: baḷaɟaḍi
kill: guḍaɟirimi
kill: maɟ-bi
kill: maɟ-bi
knee: baŋgira
know: ɟiyaŋgi
lake: baḷumbara
laugh: gami
laugh: gamiɟbi
laugh: kami
leaf: iʎirga
leaf: waɲɟira
left: waguɲuŋga
leg: ɟaga
leg: ganduru
lie: ganbalaga
lie: ɟirbali
lie: ɟuɹ̣uwala
lightning: yanduguɹ̣uṇa
live: mira
liver: malamba
long: gaṇaː
long: gaṇaː
louse: muguɲɟana
louse: ŋuyala
man: ɟuwa
many: gaṇguɟa
meat: gaɲbira
meat: guɲu
meat: yaŋaɟi
moon: waḍaŋari
morning: gambaḍaḍa
morning: gambaḍaḍa
mosquito: baŋguʎana
mother: guɟiɲa
mother: guɟiŋaɲaḍa
mouth: bamara
mouth: ŋaŋgarga
name: yuɹ̣ula
nape: ɟiyara
navel: mabuluma
neck: biṇmanma
neck: guraŋɲma
new: ɟiliɲa ~ ɟiliɟa
night: baɹ̣alala
night: ŋuraɹ̣amba
not: guyala
old: baːɟbalaṇa
old: baːɟbali
old: buŋmaɲa
old: buŋmaɟi
one: ɟandaɟɪ
one: gaṇdawugi
other: guɲi
person: ɟuwa
play: mawula
pull: wurudbaɲi
rain: gaʎuruŋguṇa
rat: gudiŋi
rat: muɲuɲuna
red: girina
red: warabubu
red: wubi
right: diṇdiɟa
ripe: ilaɲɟi
river: iligira
river: maṇaŋga
river: maṇaŋga
road: garuɲma
root: indira
rope: muṇuŋkuma
rope: muṇuŋkuma
rope: muṇuŋkuma
rotten: wagula
round: guḷuguḷa
rub: nimi
rub: nimiɟbi
salt: luŋgara
salt: walamagamaga
sand: gaḷaŋga
say: duḍurgu
say: duḍurgu
say: ŋaḷwi
say: ŋaḷwi
say: ŋaḷwi
