all: bɛː
and: ani
and: fana
and: ni
animal: daːba
arm: bolo
arrow: bìɲɛ
back: kɒ
back: solo
back: žagi
bad: go
bad: sitanɛ
bad: ǯugu
bark: fara
because: bari
because: katugu
because: sabu
belly: furu
belly: kɒnɒ
belly: kɒnɒbara
big: belebele
big: kumba
bird: kɒnɒ
bite: čin
bite: ɲimi
bitter: kunan
black: fin
blood: basi
blood: ǯoli
blow: fyɛ
bone: kolo
boy: bilakoro
breast: sin
breast: sin
breathe: ɲɒn
breathe: ninakili
burn: ǯemi
calf: dɛsɛ
calf: dulondulonmugu
cheek: dafuruku
chest: disi
chest: kɒgɒ
child: den
chin: bonbon
claw: sɒnin
cloud: kabanɒgɒ
cold: nɛnɛ
cold: suma
come: na
correct: laːdiri
correct: tilen
count: dan
cut: tigɛ
daughter: suŋgurun
day: don
die: sa
die: su
dig: segin
dig: sen
dirty: nɒgɒ
dog: wulu
drink: min
dry: ǯalan
dust: gaŋgan
dust: gɒŋgɒn
earth: bɒgɒ
ear: tulo
eat: dun
egg: fan
elbow: noŋkon
eye: ɲɛ
face: ɲɛda
fall: bin
fall: wolowolo
father: fa
fat (n.): kɛn
fear: siran
fear: siran
fear: tamaki
few: dæːnin
finger: boloŋkoni
fingernail: sonin
finger: sennkɒni
fire: goni
fire: ta
fire: tasuma
fish: ǯɛgɛ
five: duːru
float: fogon
flow: čóono
flower: feːre
flow: suːra
fly (n.): dimɒgɒ
fly (v.): pan
foot: kontoli
foot: sen
forehead: tɛn
four: naːni
fruit: nbure
full: fa
girl: npogotigi
give: ni
good: koɲuman
grass: bin
green: ɲuguǯi
hair: si
hand: ˗
hand: bolo
hand: bolo
head: kun
head: kunkolo
hear: mɛn
heart: dusu(kun)
heart: sɒn
heavy: girin
here: yan
he/she: ˗
he/she: a
he/she: bu
hit: či
hit: saban
hole: dingɛ
hole: soǯigi
hole: wo
horn: biɲɛ
horn: gere
house: so
how: di
hunt: gɛn
husband: oɛ
ice: galasi
if: ni
I: ne
in: la
in: rɒ
jaw: dagɛlɛkɛ
kill: faga
knee: kunbere
lake: dala
laugh: yɛlɛ
leaf: fura
left: numan
leg: sen
lie: da
lightning: pɛrɛŋ
liver: bìɲɛ
long: san
long: ǯamanǯan
long: ǯan
louse: ɲimi
louse: nkaranka
man: čɛ
man: čɛ
man: mɒgɒ
many: kosɛbɛ
man: ǯigi
meat: sogo
meat: sogo
moon: kalo
mother: ba
mountain: kulu
mouth: da
name: ǯamu
nape: tun
navel: bara
near: surun
neck: kan
new: kura
night: su
nose: nun
not: ayi
not: ɒnhɒn
not: unhun
one: kelen
other: wɛrɛ̀
person: mɒgɒ
play: tulon
pull: sama
push: ɲɒni
rat: ɲinɛ
rat: kɒŋginɛ
red: bilen
right: kinin
river: ba
road: sira
root: dili
rope: ǯuru
rotten: toli
round: koːri
rub: tereke
salt: kɒgɒ
sand: čɛnčɛn
say: fɒ
say: ko
say: kuma
seed: kisɛ
see: ye
sew: kala
sharp: čaron
short: surun
shoulder: kaman
sing: donkili
sit: čoːko
sit: sigi
skin: wolo
skin: wolo
sky: kaba
sleep: sunɒgo
small: dɒgɒ
small: fìtìnin
smoke: sisi
smooth: nugu
snake: sa
sour: kumu
spit: sɒgɒsɒgɒ
squeeze: čɒrɒndɒ
squeeze: ferun
squeeze: gɛrɛntɛ
squeeze: mɒsɒn
stand: wuli
star: dolo
stone: ŋɒŋgɒrɒ
suck: mugen
sun: tile
sweet: di
swell: funun
swim: nɒn
tail: ku
take: minɛ
take: ta
that: nin
there: yen
they: olu
they: u
thick: fire
thigh: woro
think: miːri
thin: kolomamisɛn
this: nin
thou: i
three: saba
throat: ngɒnɒ
throw: bon
throw: kerun
throw: seri
thunder: pɛrɛn
tie: siri
today: bi
tomorrow: sini
tongue: nɛn
tooth: ɲin
tree: ǯiri
turn: minimini
turn: munun
two: fila
vagina: kɛnɛn
vomit: fɒːnɒ
vomit: wɒgɒ
walk: boli
walk: t́áa
walk: taːma
walk: wá
warm: gan
warm: goni
warm: kalan
wash: ko
water: ǯi
we: an
weep: kasi
what: mun
where: min
where: mini
white: ǯɛ
who: ǯɒn
who: ǯɒni
wide: ǯosurun
wind: fiɲɛ
wing: kaman
wipe: susa
wipe: ǯɒsi
with: fɛ
with: ye
woman: muso
wood: bere
wood: dɒgɒ
worm: ntumu
year: san
yellow: nɛrɛ mugu
yellow: wɒlɒ
yesterday: kunun
you: aw
