all: isambu
arm: uŋgo
ashes: aßeɣa
ashes: avegha
back: ambo-da
bad: eko
bark: -anoso
belly: gomo
belly: tini
belly: tini
big: mi͂daφu
big: mindafo
bird: lioka
bird: li-oka
bird: riəkʰa
bite: dand-
bite: gamb-
black: iŋgago
blood: ororo
bone: etu
boy: mandi
breast: ami
breast: ami
brother: koro
burn: aß-
burn: du͂ge
butterfly: koːri
child: sasingu
chin: eɣoßo
cloud: poroga
cloud: poroga
come: oǯ
come: φ-
count: tegut-
crocodile: nombura
cut: gaφu-
cut: sar
day: isoŋga
day: iǯi
day: siφo
day: uŋgobu
die: amb-
dig: gaφ-
dog: sino
dog: sino
dog: sino
ear: denggoro
ear: deŋgoro
ear: deŋgoro
earth: enda
earth: enda
earth: ǯuɣu
eat: mind
egg: munǯu
emu: boke
eye: diti
eye: diti
eye: diti
face: dombu
fall: du-
fall: dur-
father: aφa
feather: buroro
fire: aßaraka
fire: aßaraka
fire: avara-ka
fish: ʔoka
fly (n.): soini
fly (v.): ɣumb-
foot: ata
foot: ata
foot: ata
foot: (ata) ǯoɣa
forest: taima
fruit: ßuǯi
girl: gagara
good: eßeßa
grass: kikisa
hair: beo
hair: bio
hair: bio
hand: unggo
hand: uŋgo
hand: uŋgo
head: giφua
head: ziro
head: ziro
head: ǯiro
heavy: boußu
here: eminda
he/she: nu
he/she: nu
hole: bako
hole: toka
house: nati
husband: nußu
I: na
I: na
knee: kaubo
knee: kaubo
know: bun
laugh: geɣa
leaf: ia gi
leaf: ia gi
leaf: igi
leg: ata
long: ɣousa
man: genembo
man: genembo
man: genembo
many: digari
moon: inua
moon: inua
moon: tambuno
mosquito: denda
mother: aya
mountain: doriri
mouth: beaka
mouth: beka
mouth: be-ka
name: ǯaßo
neck: dubo
neck: dubo
neck: dubo
new: seka
night: tumba
nose: mendo
not: era
not: ǯo
old: embako
old: eßetako
one: dabako
person: embo
play: yaru
pull: ǯumb-
rain: boriǯa
rain: buri(d)zi
rain: burizi
rain: di-
rat: agari
red: kokoigo
ripe: saφuφu
road: begata
road: emboro
road: emboro
road: emboro
root: be sisi
root: be sisi
rope: asi
round: domba
sand: ßeg
say: s-
say: sari
sea: eßa
sea: eßa
sea: karaǯe
see: g-
see: gos
shoulder: saga
shoulder: φumbu
sing: diß-
sister: aki
sister: ɣasoßu
sit: anumb-
skin: tamo
skin: tamo͂
skin: tamõ
sleep: -aß-
small: koitako
small: koitako
smell: ma͂sa
smoke: imbosi
smoke: imbosi
snake: ǯiŋgabu
spit: ekona
squeeze: safe
stand: φete
star: damana
star: damana
stone: ɣamana
stone: ɣamana
stone: aroro
stone: ghamana
stone: mindaʌo
sun: i(d)zi
sun: izi
sun: iǯi
tail: ǯimbi
take: bagia
that: a
that: amo
that: o
that: omo
there: aminda
there: ominda
they: ne (digari)
they: ne (nemonde)
they two: nengae
they two: nen.gae
think: koti-
this: e
this: emo
thou: ne (nemonde)
thou: ni
thou: ninh
throat: ǯanǯe
throw: φuge-
throw: φugut
today: oroko
tomorrow: siφode
tongue: aßißa
tongue: aviva
tooth: diaka
tooth: di-aka
tooth: dika
tree: iaka
tree: i-aka
tree: ika
two: etoto
walk: sumb-
walk: y-
wallaby: egi
warm: ßeßera
wash: seɣ-
water: ußu
water: ußu
water: uvu
weep: sorara
weep: ǯißu
we (excl.): namane
we (incl.): namon(d)e
we: namane
we two (excl.): nu nangae
we two (incl.): ni nangae
we two: nanggae
what: ni͂gi
what: re-
where: re-da
white: φoyago
who: maße
wife: nearo
wife: noaro
wind: yaura
wing: ɣabu
woman: eßetu
woman: eßetu
woman: evetu
wood: φaraɣo
wood: φaraɣo
wood: φaraɣo
year: ɣaeko
yesterday: siφe
you: ne
you two: nengae
you two: nen.gae
