all: bisa
ashes: tɛrra
bark: qolʲfa
belly: ka\rita
big: ɨ\gutɪ
bird: xambɨrta
bite: ˗ɣani\n˗
black: ˗bu\ʔurɪ
blood: d\ig
bone: lafta
breast: ama
burn: ˗gu\b˗
claw: qayaː
cloud: o\rarta
cold: d\a\mayta
come: ˗\d\˗e
die: ˗\tw˗e
dog: kuta
drink: ˗jɨ\k˗
dry: ˗gogɨ\t˗
ear: naba˗
eat: ˗d\a\m˗
egg: huguka
eye: ilda
father: ap\pa
fat (n.): hal\laːga
fire: aːbɨta
fish: murguy\a
fly (n.): xaːǯ\a
foot: loɣɨta
give: ˗d\a\š˗
good: ˗baxari
grass: maːta
hair: ɲirfa
hand: harka
head: mɛta
hear: ˗d\ɛga\y˗
heart: sɛ\tata
horn: kasa
I: ana
kill: ˗i\š˗
knee: kilba
know: ˗bna\d\˗
leaf: haša
liver: tɨra
long: ˗\d\eri
louse: ɨkɨr˗
man: nama
many: ˗\lɛgi
meat: sʷa
moon: liya
mountain: ir\rota
mouth: afa
name: maxa
neck: xolma
new: haraya
night: halgeta
one: taka
other: abɨ\li
rain: roːba
red: ˗timɪ
road: pora
root: ħɨtina
sand: tahayta
say: ˗gɨ\d\˗
see: ˗ʲa\k˗
seed: xota
sit: ˗gutɨʔ˗
skin: kollata
sleep: ˗mu\g˗
small: ˗\šɛk(i)
smoke: qayɛ
snake: maːga
stand: ˗ɣaʔa\d\˗
star: ɨskaː
stone: d\aga
sun: lɛta
swim: ˗d\a\n˗
tail: ɛːgta
thin: ˗ɣɛlayi
this: ɨni
thou: ke
three: sɛsa
tongue: arraba
tooth: ɨlgɨta
tree: qoyra
two: lak(i)
walk: ˗ya\n˗
warm: ufunq\a
water: piša
we: ino
wet: ˗qoyʲ
what: mana
white: ˗\ati
who: ayno
woman: ɨska˗
you: išina
