all: ɟuḷi
and: kunu
ankle: n̪ukuḷpa
arm: ɟiḷi
arm: paɟi
ashes: ŋari
ashes: ɟuṇpa
back: muru
bad: waʎi
belly: ŋaḷu
big: ɟilira
bird: kaki
bite: ŋan̪t̪a-lku
black: waru
blood: maṭa
blood: miɟi
blood: winiɲɟi
boy: waḷipi
breast: pipi
breast: ɟuṭu
brother: kaɟa
brother: kuṭa
brother: markaɹ̣a
burn: kampa-ku
burn: kampa-lku
butterfly: piṭipiṭi
calf: wiṭa
cheek: kaṭaɹ̣a
chest: puṭu
child: ɟiʎa
child: miṭiʎpa
chin: ŋaṇŋaṇpa
cloud: paḷkanu
cold: mut̪u
come: paka-lku
correct: t̪ukurpa
cut: ɟinka-lku
cut: kaṭa-lku
cut: kaṭa-lku
cut: ŋara-lku
cut: wiṇṭa-lku
dark: waruwaru
daughter: kuṇṭalpa
day: yaṇṭa
die: kutu
die: kutu-wayi-ku
dig: yura-lku
dog: waɲɟa
dog: ykuru
drink: ŋaṇa-ku
dry: piʎpara
dust: kunturpa
ear: kuḷka
earth: n̪aṇu
earth: ŋaɲɟa
earth: wari
eat: ŋaṇa-ku
egg: ɟimpu
egg: miɟaɹ̣a
emu: ɟankuṇa
emu: kaḷaya
eye: t̪ula
face: kumpa
face: puḷu
fall: waṇi-ku
far: warpa
father: mama
father: papu
fat (n.): ɟiɲi
fear: pilaɲpa
fight: piɲari-ku
fingernail: miɟu
fingernail: yilka
finger: ŋaŋkaɲu
fire: kaḷa
fire: waɹ̣upurka
fish: kapi
fly (n.): waraɹ̣i
fly (v.): panpa-ku
fly (v.): waɹ̣ayi-ku
fog: mat̪ari
foot: ɟina
foot: waḷa
forehead: yinti
full: wiɲa
full: wiɲa-ma-lku
girl: maŋa
girl: ɲuṭu
give: yiɲa-ku
good: manaṭu
good: maṇu
grass: warapa
guts: ŋaḷu
hair: ɲaɲi
hair: yurkuṇpa
hand: maɹ̣a
head: kaṭukara
head: put̪a
head: put̪alka
hear: kuliy-lku
heart: puɹ̣i
heart: pulaṭa
heavy: ŋuŋkumaṭa
here: ɲiya
he/she: t̪ana
hit: katama-lku
hit: pat̪a-ku
hold: kaṇku-lku
hold: mana-ku
hold: waḷi-lku
hole: pili
hole: puṇṭa
house: maya
hunt: pukaɲpa
ice: mat̪ari
I: ŋat̪a
I: ŋat̪aṇtu
I: ŋaɟu
kangaroo: paɟari
kill: kutu-ma-lku
knee: kaŋku
knee: maŋunpa
knee: manpurpa
knee: waṇkuḷa
know: miṇu-
laugh: t̪uṇ-ku
leaf: parka
left: ɟampurka
lie: ŋari-ku
lightning: pimparampara
lip: waḷi
liver: ŋaḷkaɹ̣i
liver: ŋamari
long: wanara
louse: kulu
louse: pit̪aɲpa
man: maḷpa
many: manuwara
many: yaṭa
meat: mantu
moon: wiḷara
morning: kanaɹ̣akanaɹ̣a
morning: waruŋkamu
mosquito: ɲuṇi
mother: ŋaŋka
mother: ŋaṭi
mother: pipi
mountain: maṇṭa
mouth: t̪aɹ̣a
name: yini
nape: n̪anka
navel: ɲiḷunpa
near: muṇa
new: yiɟaŋu
night: warukaṭa
not: miṭa
old: ɟaṭa
old: ɟuɟu
old: ɟuɟu
old: yiṇṭitiɹ̣a
one: yikimaṭa
other: kutiya
person: maḷpa
play: witi-pi-lku
play: witi-yayi-ku
pull: puri-lku
push: yuṇtu-lku
rain: mut̪uɹ̣a
rat: kaḷuɲɟa
rat: ŋaɟa
red: maṭamaṭa
red: maṭarpa
red: miɟmiɟɨ
red: muŋkaŋu
road: ɟina-ma-lku
road: yiṭiya
root: kaḷka
rotten: puka
salt: puʎa
sand: n̪aṇu
sand: ŋaɲɟa
say: waŋka-ku
scratch: kiṭirpi-lku
scratch: yura-lku
sea: puʎa
seed: kalpaɹ̣i
see: wiya-lku
see: wiya-lku
sharp: yiɹ̣i
short: kuta
shoulder: parkaɹ̣a
shoulder: wiʎka
sing: ɲiyiniri-ku
sing: yiraɹ̣ayi-ku
sister: maɹ̣i
sister: ŋaɟinu
sister: t̪uṭu
sit: panti-ku
skin: kaṇu
sky: ŋaṇka
sky: yilkaɹ̣i
sleep: kuɲanpa
small: kupiɟa
smell: paṇṭi-ku
smoke: ɟukuṇpa
smooth: yurpi-lku
snake: ɲuṇa
son: maɲka
son: pun̪ayi
spit: wit̪a
stand: kari-ku
star: pintiri
stone: maṇṭa
straight: kaɹ̣iya-lku
straight: t̪ukurpa
straight: waɟu
sun: karpu
sun: yaṇṭa
sweet: ɟantaɹ̣u
swim: pun̪t̪a-ku
tail: waṇṭi
take: kati-ku
take: miʎula-lku
there: ŋun̪a
there: pan̪a
they: t̪ananmara
they: t̪anaɲuŋu
they two: t̪anakut̪a
thigh: kuɟi
thigh: wulu
think: kuḷka-yi-ku
thorn: ɟiri
thou: ɲinku
thou: ɲinkut̪aṇtu
thou: ɲinta
thou: n̪upalukuɹ̣u
three: ɟarkuṭi
throat: waŋkarpa
throw: ŋayi-lku
thunder: kanaɟi
tie: ɟanka-lku
tie: manta-lku
today: kuwari
tomorrow: manŋukamu
tomorrow: waruŋkamu
tongue: yal̪uɹ̣u
tooth: yira
tree: kaṇṭi
turn: pinkali-ku
two: kut̪ara
unripe: wanka
vagina: puṭanmara
vagina: yaḷi
vomit: karkaḷi-ku
walk: muṭi-ku
walk: yana-ku
warm: kuḷu
warm: kuḷu
wash: pun̪t̪a-ku
water: papa
weep: kaṇṭa
weep: ŋaɟi-ku
we (excl.): ŋaliyakuɹ̣u
we (incl.): ŋalikuɹ̣u
wet: ɟulpuɹ̣iɲa
we two (excl.): ŋaliya
we two (incl.): ŋali
we two (incl.): ŋalimpaku
we two (incl.): ŋalimpat̪aṇtu
white: yaliri
wind: wirpi
woman: paʎa
wood: kaṇṭi
wood: kaṇṭi
yellow: ɟiḷpa
yesterday: piri
you two: n̪upalu
