bad: ʔanga
big: mina
bird: neː
bone: ot̪a
brother: noma
child: kʰata
come: baː-
cut: dzoː-
cut: hot̪u-
dog: haː
drink: muː-
eat: muː-
eye: nese
eye: penga
fall: taː
father: mai
foot: oko
fruit: meː
good: ʔidza
hear: noː
here: erata
he/she: no
house: naga
I: ana ~ na
man: abi
morning: saunaba
not: bamu
one: nopo
rain: ʔuː
rat: gope
ripe: ba
say: hiː-
scratch: kui-
sea: besahi
see: moː-
sit: habe-
sleep: meː-
split: ʔoha-
stone: oma
stone: oma
there: ota
they: noko
they two: nopo
think: ʔupadzo-
thou: niː
thou: nike
throw: biː-
tomorrow: iːhai
tree: eː
two: temu
walk: torou-
walk: tuː-
water: oba
we (excl.): nana
we (incl.): napa
we two (incl.): naka
what: naːne
who: ape
wind: uta
wipe: kui-
woman: atapa
wood: eːke
yesterday: aruku
you two: nipe
