all: kulu
and: dɛ
and: nda
animal: ɟɛndi˗ham
ankle: ʈie˗mɔː
arm: kmba
arrow: hangaw
ashes: bosu
back: banda
bad: lala
bad: ši bara
bark: turi bandɛ
because: ¶ama
belly: gunde
big: worgo
bird: ciraw
bite: kaːma
bite: nama
bitter: fottu
black: bi
blood: kuri
blow: funsu
bone: biri
branch: turikambɛ
breast: fafa ˈˈmamelle\
breast: fafu
breathe: mɛhaw
brother: bɛːrɛ
brother: harmɛ
brother: kaynɛ
burn: ton
cheek: garba
child: kotia
child: zanka
chin: kaːbɛ
claw: ʈiamsɛ
cloud: buru
cold: yɛy
come: ka
correct: kayantɛ
count: kabu
cut: dumbu
dark: kubay
daughter: wɛndio
day: dirbi
day: han
die: bu
die: bu
die: buyɛn
dig: fanši
dirty: žibi
dog: ansi
drink: haŋ
dry: koː
dry: koːgu
dust: kusà
ear: hanga
earth: labu
eat: nua
egg: gunguri
eye: mɔː
eye: mɔː˗ɟina˗hamni
fall: kaŋ
far: moːra
father: baba
fat (n.): maːni
feather: hamni
fight: tangam
finger: kamba˗ngɛ
finger: kambɛ˗hi¶ɛ
fingernail: kambɛ˗ʈiamsɛ
fish: isa ham
five: igu
flow: dori
flower: boːsi
fly (n.): bimbim
fly (n.): hamni
fly (v.): deːsi
fog: kusa
foot: ciɛkondo
foot: ciɛ˗tɛkisɛ
foot: ʈiɛ
four: taːʈi
fruit: turi˗hi¶ɛ
full: to
full: tonandi
girl: wɛndio
give: non
good: bono
good: hɛnna
good: kaːna
grass: subu
green: bogu
hair: hamni
hand: kamba
head: boŋ
hear: ma
heart: bina
heavy: tin
here: ne
he/she: a
he/she: a
he/she: a
he/she: a
hit: kar
hole: funi
horn: hilli
house: fu
how: matɛ
husband: kurɲæ
I: ay
I: ay
ice: digi
if: nda
if: wala
in: gan
kill: wi
knee: kanga
know: bay
leaf: kopto
left: (kambu) wou
leg: tanɟɛ
lip: mæ bena
lip: mæ ganda
live: funa
liver: hamɛ
long: ku
long: ku
long: kuku
long: kuku
louse: gani
louse: kuma
man: boro
man: haru
many: ba
many: bobo
meat: ham
meat: ham
moon: handu
mother: ɲa
mouth: mɛ
nape: čin
navel: ma
near: mana
neck: ¶indɛ
new: haruasu
new: tagi
night: kondo
not: si˗
old: arkusu
other: a fo
play: dili
play: tɛtɛ
pull: cɛndi
rain: hari
rat: tian
red: cirɛy
right: (kambay)nuari
river: isa
road: fonda
root: kaː¶i
rope: karfu
rub: ¶iri
salt: ciri
sand: laːbu
say: ʈi
say: ne
say: salan
seed: guːrɛ
see: di
sew: ta
sharp: dɛnɛ
short: dungurio
sing: don
sister: wɛyma
sit: goro
skin: kuru
skin: kuru
sky: bɛnɛ
sleep: ¶irbi
small: kɛyna
smoke: dullu
snake: gondi
snow: gaːri
son: hiɟɛ
sour: moːra
spit: koto
spit: yolo
split: farsi
stand: tun
stone: tondi dori
suck: sunsum
sun: wɛyna
sweet: yu
swim: ¶i
take: sambu
take: ta
there: yongo
they: i
they: ngɛy
thick: tɛfɛy
thin: ˗fabu
think: fonga
thou: aran
thou: ni
thou: ni
thou: war
three: hin¶a
throat: karrɛ
thunder: dundu
tie: hau
today: hunkuna
tomorrow: suba
tongue: dɛne
tooth: hin¶iɛ
tree: turi
turn: bɛrɛ
two: hinka
vagina: butɛ
vagina: dafɛ
vagina: ni¶ɛ
vomit: yɛri
walk: dira
walk: ko(y)
walk: ¶uru
warm: dungu
wash: ɲun
water: hari
weep: hæ
weep: mundi
we: ir
we: iri
wet: tay
what: hi fo
when: kaŋ
when: wati kaŋ
where: man
white: koarɛ
who: may
wide: hay
wide: tafay
wife: wɛndɛ
wing: fata
wipe: tuːsu
with: nda
woman: wɛy
woman: wɛy˗boro
wood: gobu
wood: turi
worm: noni
year: ¶iri
yellow: sɛy
yesterday: bi
